dimension,value,layer_id,threshold,feature_metric,pair_count,pixel_changed_ratio,feature_changed_ratio,correlation
task,I want to search for a flight from Knoxville to Hawaii.,final,0.1,cosine_distance,3,"{""count"": 3, ""mean"": 0.0859375, ""median"": 0.09375, ""p90"": 0.10625000000000001, ""min"": 0.0546875, ""max"": 0.109375, ""std"": 0.0229993772560621}","{""count"": 3, ""mean"": 0.000663129973474801, ""median"": 0.000663129973474801, ""p90"": 0.0011936339522546418, ""min"": 0.0, ""max"": 0.001326259946949602, ""std"": 0.0005414433560528687}",0.6933752452815364
task,I want to search for some interesting activities in Hawaii.,final,0.005,cosine_distance,2,"{""count"": 2, ""mean"": 0.140625, ""median"": 0.140625, ""p90"": 0.140625, ""min"": 0.140625, ""max"": 0.140625, ""std"": 0.0}","{""count"": 2, ""mean"": 0.07261273209549071, ""median"": 0.07261273209549071, ""p90"": 0.07659151193633952, ""min"": 0.06763925729442971, ""max"": 0.07758620689655173, ""std"": 0.004973474801061008}",
task,I want to search for some interesting activities in Hawaii.,final,0.01,cosine_distance,2,"{""count"": 2, ""mean"": 0.140625, ""median"": 0.140625, ""p90"": 0.140625, ""min"": 0.140625, ""max"": 0.140625, ""std"": 0.0}","{""count"": 2, ""mean"": 0.05570291777188329, ""median"": 0.05570291777188329, ""p90"": 0.05994694960212202, ""min"": 0.050397877984084884, ""max"": 0.0610079575596817, ""std"": 0.005305039787798407}",
task,I want to search for some interesting activities in Hawaii.,final,0.03,cosine_distance,2,"{""count"": 2, ""mean"": 0.140625, ""median"": 0.140625, ""p90"": 0.140625, ""min"": 0.140625, ""max"": 0.140625, ""std"": 0.0}","{""count"": 2, ""mean"": 0.015915119363395226, ""median"": 0.015915119363395226, ""p90"": 0.016976127320954906, ""min"": 0.014588859416445624, ""max"": 0.017241379310344827, ""std"": 0.0013262599469496018}",
task,I want to search for some interesting activities in Hawaii.,final,0.05,cosine_distance,2,"{""count"": 2, ""mean"": 0.140625, ""median"": 0.140625, ""p90"": 0.140625, ""min"": 0.140625, ""max"": 0.140625, ""std"": 0.0}","{""count"": 2, ""mean"": 0.005305039787798408, ""median"": 0.005305039787798408, ""p90"": 0.005835543766578249, ""min"": 0.004641909814323607, ""max"": 0.005968169761273209, ""std"": 0.0006631299734748009}",
task,I want to search for some interesting activities in Hawaii.,final,0.1,cosine_distance,2,"{""count"": 2, ""mean"": 0.140625, ""median"": 0.140625, ""p90"": 0.140625, ""min"": 0.140625, ""max"": 0.140625, ""std"": 0.0}","{""count"": 2, ""mean"": 0.000663129973474801, ""median"": 0.000663129973474801, ""p90"": 0.0011936339522546418, ""min"": 0.0, ""max"": 0.001326259946949602, ""std"": 0.000663129973474801}",
task,I want to send the Google Keep Document to Carlos3345@gmail.com in the Google Drive App,final,0.005,cosine_distance,2,"{""count"": 2, ""mean"": 0.03125, ""median"": 0.03125, ""p90"": 0.03125, ""min"": 0.03125, ""max"": 0.03125, ""std"": 0.0}","{""count"": 2, ""mean"": 0.00629973474801061, ""median"": 0.00629973474801061, ""p90"": 0.0065649867374005305, ""min"": 0.005968169761273209, ""max"": 0.006631299734748011, ""std"": 0.0003315649867374009}",
task,I want to send the Google Keep Document to Carlos3345@gmail.com in the Google Drive App,final,0.01,cosine_distance,2,"{""count"": 2, ""mean"": 0.03125, ""median"": 0.03125, ""p90"": 0.03125, ""min"": 0.03125, ""max"": 0.03125, ""std"": 0.0}","{""count"": 2, ""mean"": 0.002984084880636605, ""median"": 0.002984084880636605, ""p90"": 0.0032493368700265255, ""min"": 0.002652519893899204, ""max"": 0.0033156498673740055, ""std"": 0.0003315649867374007}",
task,I want to send the Google Keep Document to Carlos3345@gmail.com in the Google Drive App,final,0.03,cosine_distance,2,"{""count"": 2, ""mean"": 0.03125, ""median"": 0.03125, ""p90"": 0.03125, ""min"": 0.03125, ""max"": 0.03125, ""std"": 0.0}","{""count"": 2, ""mean"": 0.001989389920424403, ""median"": 0.001989389920424403, ""p90"": 0.001989389920424403, ""min"": 0.001989389920424403, ""max"": 0.001989389920424403, ""std"": 0.0}",
task,I want to send the Google Keep Document to Carlos3345@gmail.com in the Google Drive App,final,0.05,cosine_distance,2,"{""count"": 2, ""mean"": 0.03125, ""median"": 0.03125, ""p90"": 0.03125, ""min"": 0.03125, ""max"": 0.03125, ""std"": 0.0}","{""count"": 2, ""mean"": 0.001326259946949602, ""median"": 0.001326259946949602, ""p90"": 0.001326259946949602, ""min"": 0.001326259946949602, ""max"": 0.001326259946949602, ""std"": 0.0}",
task,I want to send the Google Keep Document to Carlos3345@gmail.com in the Google Drive App,final,0.1,cosine_distance,2,"{""count"": 2, ""mean"": 0.03125, ""median"": 0.03125, ""p90"": 0.03125, ""min"": 0.03125, ""max"": 0.03125, ""std"": 0.0}","{""count"": 2, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""min"": 0.0, ""max"": 0.0, ""std"": 0.0}",
task,I want to set an alarm for every weekday at 7:00 AM on the clock app for the gym so that I don't miss my workout.,final,0.005,cosine_distance,1,"{""count"": 1, ""mean"": 0.09375, ""median"": 0.09375, ""p90"": 0.09375, ""min"": 0.09375, ""max"": 0.09375, ""std"": 0.0}","{""count"": 1, ""mean"": 0.02586206896551724, ""median"": 0.02586206896551724, ""p90"": 0.02586206896551724, ""min"": 0.02586206896551724, ""max"": 0.02586206896551724, ""std"": 0.0}",
task,I want to set an alarm for every weekday at 7:00 AM on the clock app for the gym so that I don't miss my workout.,final,0.01,cosine_distance,1,"{""count"": 1, ""mean"": 0.09375, ""median"": 0.09375, ""p90"": 0.09375, ""min"": 0.09375, ""max"": 0.09375, ""std"": 0.0}","{""count"": 1, ""mean"": 0.016578249336870028, ""median"": 0.016578249336870028, ""p90"": 0.016578249336870028, ""min"": 0.016578249336870028, ""max"": 0.016578249336870028, ""std"": 0.0}",
task,I want to set an alarm for every weekday at 7:00 AM on the clock app for the gym so that I don't miss my workout.,final,0.03,cosine_distance,1,"{""count"": 1, ""mean"": 0.09375, ""median"": 0.09375, ""p90"": 0.09375, ""min"": 0.09375, ""max"": 0.09375, ""std"": 0.0}","{""count"": 1, ""mean"": 0.005305039787798408, ""median"": 0.005305039787798408, ""p90"": 0.005305039787798408, ""min"": 0.005305039787798408, ""max"": 0.005305039787798408, ""std"": 0.0}",
task,I want to set an alarm for every weekday at 7:00 AM on the clock app for the gym so that I don't miss my workout.,final,0.05,cosine_distance,1,"{""count"": 1, ""mean"": 0.09375, ""median"": 0.09375, ""p90"": 0.09375, ""min"": 0.09375, ""max"": 0.09375, ""std"": 0.0}","{""count"": 1, ""mean"": 0.003978779840848806, ""median"": 0.003978779840848806, ""p90"": 0.003978779840848806, ""min"": 0.003978779840848806, ""max"": 0.003978779840848806, ""std"": 0.0}",
task,I want to set an alarm for every weekday at 7:00 AM on the clock app for the gym so that I don't miss my workout.,final,0.1,cosine_distance,1,"{""count"": 1, ""mean"": 0.09375, ""median"": 0.09375, ""p90"": 0.09375, ""min"": 0.09375, ""max"": 0.09375, ""std"": 0.0}","{""count"": 1, ""mean"": 0.001989389920424403, ""median"": 0.001989389920424403, ""p90"": 0.001989389920424403, ""min"": 0.001989389920424403, ""max"": 0.001989389920424403, ""std"": 0.0}",
task,I want to upload the Book Report-2.pptx file to my drive because I'm changing my mobile device.,final,0.005,cosine_distance,1,"{""count"": 1, ""mean"": 0.0078125, ""median"": 0.0078125, ""p90"": 0.0078125, ""min"": 0.0078125, ""max"": 0.0078125, ""std"": 0.0}","{""count"": 1, ""mean"": 0.001326259946949602, ""median"": 0.001326259946949602, ""p90"": 0.001326259946949602, ""min"": 0.001326259946949602, ""max"": 0.001326259946949602, ""std"": 0.0}",
task,I want to upload the Book Report-2.pptx file to my drive because I'm changing my mobile device.,final,0.01,cosine_distance,1,"{""count"": 1, ""mean"": 0.0078125, ""median"": 0.0078125, ""p90"": 0.0078125, ""min"": 0.0078125, ""max"": 0.0078125, ""std"": 0.0}","{""count"": 1, ""mean"": 0.001326259946949602, ""median"": 0.001326259946949602, ""p90"": 0.001326259946949602, ""min"": 0.001326259946949602, ""max"": 0.001326259946949602, ""std"": 0.0}",
task,I want to upload the Book Report-2.pptx file to my drive because I'm changing my mobile device.,final,0.03,cosine_distance,1,"{""count"": 1, ""mean"": 0.0078125, ""median"": 0.0078125, ""p90"": 0.0078125, ""min"": 0.0078125, ""max"": 0.0078125, ""std"": 0.0}","{""count"": 1, ""mean"": 0.000663129973474801, ""median"": 0.000663129973474801, ""p90"": 0.000663129973474801, ""min"": 0.000663129973474801, ""max"": 0.000663129973474801, ""std"": 0.0}",
task,I want to upload the Book Report-2.pptx file to my drive because I'm changing my mobile device.,final,0.05,cosine_distance,1,"{""count"": 1, ""mean"": 0.0078125, ""median"": 0.0078125, ""p90"": 0.0078125, ""min"": 0.0078125, ""max"": 0.0078125, ""std"": 0.0}","{""count"": 1, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""min"": 0.0, ""max"": 0.0, ""std"": 0.0}",
task,I want to upload the Book Report-2.pptx file to my drive because I'm changing my mobile device.,final,0.1,cosine_distance,1,"{""count"": 1, ""mean"": 0.0078125, ""median"": 0.0078125, ""p90"": 0.0078125, ""min"": 0.0078125, ""max"": 0.0078125, ""std"": 0.0}","{""count"": 1, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""min"": 0.0, ""max"": 0.0, ""std"": 0.0}",
task,"I would like to add text to the celestial  theme presentation slide through show app saying ""we cant help everyone , but everyone can help someone""",final,0.005,cosine_distance,1,"{""count"": 1, ""mean"": 0.09375, ""median"": 0.09375, ""p90"": 0.09375, ""min"": 0.09375, ""max"": 0.09375, ""std"": 0.0}","{""count"": 1, ""mean"": 0.07625994694960213, ""median"": 0.07625994694960213, ""p90"": 0.07625994694960213, ""min"": 0.07625994694960213, ""max"": 0.07625994694960213, ""std"": 0.0}",
task,"I would like to add text to the celestial  theme presentation slide through show app saying ""we cant help everyone , but everyone can help someone""",final,0.01,cosine_distance,1,"{""count"": 1, ""mean"": 0.09375, ""median"": 0.09375, ""p90"": 0.09375, ""min"": 0.09375, ""max"": 0.09375, ""std"": 0.0}","{""count"": 1, ""mean"": 0.047082228116710874, ""median"": 0.047082228116710874, ""p90"": 0.047082228116710874, ""min"": 0.047082228116710874, ""max"": 0.047082228116710874, ""std"": 0.0}",
task,"I would like to add text to the celestial  theme presentation slide through show app saying ""we cant help everyone , but everyone can help someone""",final,0.03,cosine_distance,1,"{""count"": 1, ""mean"": 0.09375, ""median"": 0.09375, ""p90"": 0.09375, ""min"": 0.09375, ""max"": 0.09375, ""std"": 0.0}","{""count"": 1, ""mean"": 0.023209549071618037, ""median"": 0.023209549071618037, ""p90"": 0.023209549071618037, ""min"": 0.023209549071618037, ""max"": 0.023209549071618037, ""std"": 0.0}",
task,"I would like to add text to the celestial  theme presentation slide through show app saying ""we cant help everyone , but everyone can help someone""",final,0.05,cosine_distance,1,"{""count"": 1, ""mean"": 0.09375, ""median"": 0.09375, ""p90"": 0.09375, ""min"": 0.09375, ""max"": 0.09375, ""std"": 0.0}","{""count"": 1, ""mean"": 0.009283819628647215, ""median"": 0.009283819628647215, ""p90"": 0.009283819628647215, ""min"": 0.009283819628647215, ""max"": 0.009283819628647215, ""std"": 0.0}",
task,"I would like to add text to the celestial  theme presentation slide through show app saying ""we cant help everyone , but everyone can help someone""",final,0.1,cosine_distance,1,"{""count"": 1, ""mean"": 0.09375, ""median"": 0.09375, ""p90"": 0.09375, ""min"": 0.09375, ""max"": 0.09375, ""std"": 0.0}","{""count"": 1, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""min"": 0.0, ""max"": 0.0, ""std"": 0.0}",
task,I would like to browse my favorite genre of prose books.,final,0.005,cosine_distance,1,"{""count"": 1, ""mean"": 0.1015625, ""median"": 0.1015625, ""p90"": 0.1015625, ""min"": 0.1015625, ""max"": 0.1015625, ""std"": 0.0}","{""count"": 1, ""mean"": 0.03580901856763926, ""median"": 0.03580901856763926, ""p90"": 0.03580901856763926, ""min"": 0.03580901856763926, ""max"": 0.03580901856763926, ""std"": 0.0}",
task,I would like to browse my favorite genre of prose books.,final,0.01,cosine_distance,1,"{""count"": 1, ""mean"": 0.1015625, ""median"": 0.1015625, ""p90"": 0.1015625, ""min"": 0.1015625, ""max"": 0.1015625, ""std"": 0.0}","{""count"": 1, ""mean"": 0.023872679045092837, ""median"": 0.023872679045092837, ""p90"": 0.023872679045092837, ""min"": 0.023872679045092837, ""max"": 0.023872679045092837, ""std"": 0.0}",
task,I would like to browse my favorite genre of prose books.,final,0.03,cosine_distance,1,"{""count"": 1, ""mean"": 0.1015625, ""median"": 0.1015625, ""p90"": 0.1015625, ""min"": 0.1015625, ""max"": 0.1015625, ""std"": 0.0}","{""count"": 1, ""mean"": 0.010610079575596816, ""median"": 0.010610079575596816, ""p90"": 0.010610079575596816, ""min"": 0.010610079575596816, ""max"": 0.010610079575596816, ""std"": 0.0}",
task,I would like to browse my favorite genre of prose books.,final,0.05,cosine_distance,1,"{""count"": 1, ""mean"": 0.1015625, ""median"": 0.1015625, ""p90"": 0.1015625, ""min"": 0.1015625, ""max"": 0.1015625, ""std"": 0.0}","{""count"": 1, ""mean"": 0.006631299734748011, ""median"": 0.006631299734748011, ""p90"": 0.006631299734748011, ""min"": 0.006631299734748011, ""max"": 0.006631299734748011, ""std"": 0.0}",
task,I would like to browse my favorite genre of prose books.,final,0.1,cosine_distance,1,"{""count"": 1, ""mean"": 0.1015625, ""median"": 0.1015625, ""p90"": 0.1015625, ""min"": 0.1015625, ""max"": 0.1015625, ""std"": 0.0}","{""count"": 1, ""mean"": 0.001326259946949602, ""median"": 0.001326259946949602, ""p90"": 0.001326259946949602, ""min"": 0.001326259946949602, ""max"": 0.001326259946949602, ""std"": 0.0}",
task,I'd want to view my shopping cart to see what things I've added.,final,0.005,cosine_distance,1,"{""count"": 1, ""mean"": 0.015625, ""median"": 0.015625, ""p90"": 0.015625, ""min"": 0.015625, ""max"": 0.015625, ""std"": 0.0}","{""count"": 1, ""mean"": 0.003978779840848806, ""median"": 0.003978779840848806, ""p90"": 0.003978779840848806, ""min"": 0.003978779840848806, ""max"": 0.003978779840848806, ""std"": 0.0}",
task,I'd want to view my shopping cart to see what things I've added.,final,0.01,cosine_distance,1,"{""count"": 1, ""mean"": 0.015625, ""median"": 0.015625, ""p90"": 0.015625, ""min"": 0.015625, ""max"": 0.015625, ""std"": 0.0}","{""count"": 1, ""mean"": 0.001326259946949602, ""median"": 0.001326259946949602, ""p90"": 0.001326259946949602, ""min"": 0.001326259946949602, ""max"": 0.001326259946949602, ""std"": 0.0}",
task,I'd want to view my shopping cart to see what things I've added.,final,0.03,cosine_distance,1,"{""count"": 1, ""mean"": 0.015625, ""median"": 0.015625, ""p90"": 0.015625, ""min"": 0.015625, ""max"": 0.015625, ""std"": 0.0}","{""count"": 1, ""mean"": 0.000663129973474801, ""median"": 0.000663129973474801, ""p90"": 0.000663129973474801, ""min"": 0.000663129973474801, ""max"": 0.000663129973474801, ""std"": 0.0}",
task,I'd want to view my shopping cart to see what things I've added.,final,0.05,cosine_distance,1,"{""count"": 1, ""mean"": 0.015625, ""median"": 0.015625, ""p90"": 0.015625, ""min"": 0.015625, ""max"": 0.015625, ""std"": 0.0}","{""count"": 1, ""mean"": 0.000663129973474801, ""median"": 0.000663129973474801, ""p90"": 0.000663129973474801, ""min"": 0.000663129973474801, ""max"": 0.000663129973474801, ""std"": 0.0}",
task,I'd want to view my shopping cart to see what things I've added.,final,0.1,cosine_distance,1,"{""count"": 1, ""mean"": 0.015625, ""median"": 0.015625, ""p90"": 0.015625, ""min"": 0.015625, ""max"": 0.015625, ""std"": 0.0}","{""count"": 1, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""min"": 0.0, ""max"": 0.0, ""std"": 0.0}",
task,I'm going to Rio de Janeiro with my friend Carlos next month. I'll look for lodging for two persons visiting rio de janeiro from November 6 to November 10 using the Agoda app.,final,0.005,cosine_distance,1,"{""count"": 1, ""mean"": 0.0546875, ""median"": 0.0546875, ""p90"": 0.0546875, ""min"": 0.0546875, ""max"": 0.0546875, ""std"": 0.0}","{""count"": 1, ""mean"": 0.02453580901856764, ""median"": 0.02453580901856764, ""p90"": 0.02453580901856764, ""min"": 0.02453580901856764, ""max"": 0.02453580901856764, ""std"": 0.0}",
task,I'm going to Rio de Janeiro with my friend Carlos next month. I'll look for lodging for two persons visiting rio de janeiro from November 6 to November 10 using the Agoda app.,final,0.01,cosine_distance,1,"{""count"": 1, ""mean"": 0.0546875, ""median"": 0.0546875, ""p90"": 0.0546875, ""min"": 0.0546875, ""max"": 0.0546875, ""std"": 0.0}","{""count"": 1, ""mean"": 0.012599469496021221, ""median"": 0.012599469496021221, ""p90"": 0.012599469496021221, ""min"": 0.012599469496021221, ""max"": 0.012599469496021221, ""std"": 0.0}",
task,I'm going to Rio de Janeiro with my friend Carlos next month. I'll look for lodging for two persons visiting rio de janeiro from November 6 to November 10 using the Agoda app.,final,0.03,cosine_distance,1,"{""count"": 1, ""mean"": 0.0546875, ""median"": 0.0546875, ""p90"": 0.0546875, ""min"": 0.0546875, ""max"": 0.0546875, ""std"": 0.0}","{""count"": 1, ""mean"": 0.003978779840848806, ""median"": 0.003978779840848806, ""p90"": 0.003978779840848806, ""min"": 0.003978779840848806, ""max"": 0.003978779840848806, ""std"": 0.0}",
task,I'm going to Rio de Janeiro with my friend Carlos next month. I'll look for lodging for two persons visiting rio de janeiro from November 6 to November 10 using the Agoda app.,final,0.05,cosine_distance,1,"{""count"": 1, ""mean"": 0.0546875, ""median"": 0.0546875, ""p90"": 0.0546875, ""min"": 0.0546875, ""max"": 0.0546875, ""std"": 0.0}","{""count"": 1, ""mean"": 0.000663129973474801, ""median"": 0.000663129973474801, ""p90"": 0.000663129973474801, ""min"": 0.000663129973474801, ""max"": 0.000663129973474801, ""std"": 0.0}",
task,I'm going to Rio de Janeiro with my friend Carlos next month. I'll look for lodging for two persons visiting rio de janeiro from November 6 to November 10 using the Agoda app.,final,0.1,cosine_distance,1,"{""count"": 1, ""mean"": 0.0546875, ""median"": 0.0546875, ""p90"": 0.0546875, ""min"": 0.0546875, ""max"": 0.0546875, ""std"": 0.0}","{""count"": 1, ""mean"": 0.000663129973474801, ""median"": 0.000663129973474801, ""p90"": 0.000663129973474801, ""min"": 0.000663129973474801, ""max"": 0.000663129973474801, ""std"": 0.0}",
task,"I'm planning to visit Cape Town with four friends, therefore search for a hotel in Cape Town for five nights between December 23rd and December 28th, 2023 in the expedia app.",final,0.005,cosine_distance,1,"{""count"": 1, ""mean"": 0.0546875, ""median"": 0.0546875, ""p90"": 0.0546875, ""min"": 0.0546875, ""max"": 0.0546875, ""std"": 0.0}","{""count"": 1, ""mean"": 0.03183023872679045, ""median"": 0.03183023872679045, ""p90"": 0.03183023872679045, ""min"": 0.03183023872679045, ""max"": 0.03183023872679045, ""std"": 0.0}",
task,"I'm planning to visit Cape Town with four friends, therefore search for a hotel in Cape Town for five nights between December 23rd and December 28th, 2023 in the expedia app.",final,0.01,cosine_distance,1,"{""count"": 1, ""mean"": 0.0546875, ""median"": 0.0546875, ""p90"": 0.0546875, ""min"": 0.0546875, ""max"": 0.0546875, ""std"": 0.0}","{""count"": 1, ""mean"": 0.021883289124668436, ""median"": 0.021883289124668436, ""p90"": 0.021883289124668436, ""min"": 0.021883289124668436, ""max"": 0.021883289124668436, ""std"": 0.0}",
task,"I'm planning to visit Cape Town with four friends, therefore search for a hotel in Cape Town for five nights between December 23rd and December 28th, 2023 in the expedia app.",final,0.03,cosine_distance,1,"{""count"": 1, ""mean"": 0.0546875, ""median"": 0.0546875, ""p90"": 0.0546875, ""min"": 0.0546875, ""max"": 0.0546875, ""std"": 0.0}","{""count"": 1, ""mean"": 0.005968169761273209, ""median"": 0.005968169761273209, ""p90"": 0.005968169761273209, ""min"": 0.005968169761273209, ""max"": 0.005968169761273209, ""std"": 0.0}",
task,"I'm planning to visit Cape Town with four friends, therefore search for a hotel in Cape Town for five nights between December 23rd and December 28th, 2023 in the expedia app.",final,0.05,cosine_distance,1,"{""count"": 1, ""mean"": 0.0546875, ""median"": 0.0546875, ""p90"": 0.0546875, ""min"": 0.0546875, ""max"": 0.0546875, ""std"": 0.0}","{""count"": 1, ""mean"": 0.001326259946949602, ""median"": 0.001326259946949602, ""p90"": 0.001326259946949602, ""min"": 0.001326259946949602, ""max"": 0.001326259946949602, ""std"": 0.0}",
task,"I'm planning to visit Cape Town with four friends, therefore search for a hotel in Cape Town for five nights between December 23rd and December 28th, 2023 in the expedia app.",final,0.1,cosine_distance,1,"{""count"": 1, ""mean"": 0.0546875, ""median"": 0.0546875, ""p90"": 0.0546875, ""min"": 0.0546875, ""max"": 0.0546875, ""std"": 0.0}","{""count"": 1, ""mean"": 0.000663129973474801, ""median"": 0.000663129973474801, ""p90"": 0.000663129973474801, ""min"": 0.000663129973474801, ""max"": 0.000663129973474801, ""std"": 0.0}",
task,"In All Trails, launch the explore tab and click the first place with 4.5 stars in Detroit",final,0.005,cosine_distance,1,"{""count"": 1, ""mean"": 0.0078125, ""median"": 0.0078125, ""p90"": 0.0078125, ""min"": 0.0078125, ""max"": 0.0078125, ""std"": 0.0}","{""count"": 1, ""mean"": 0.001326259946949602, ""median"": 0.001326259946949602, ""p90"": 0.001326259946949602, ""min"": 0.001326259946949602, ""max"": 0.001326259946949602, ""std"": 0.0}",
task,"In All Trails, launch the explore tab and click the first place with 4.5 stars in Detroit",final,0.01,cosine_distance,1,"{""count"": 1, ""mean"": 0.0078125, ""median"": 0.0078125, ""p90"": 0.0078125, ""min"": 0.0078125, ""max"": 0.0078125, ""std"": 0.0}","{""count"": 1, ""mean"": 0.000663129973474801, ""median"": 0.000663129973474801, ""p90"": 0.000663129973474801, ""min"": 0.000663129973474801, ""max"": 0.000663129973474801, ""std"": 0.0}",
task,"In All Trails, launch the explore tab and click the first place with 4.5 stars in Detroit",final,0.03,cosine_distance,1,"{""count"": 1, ""mean"": 0.0078125, ""median"": 0.0078125, ""p90"": 0.0078125, ""min"": 0.0078125, ""max"": 0.0078125, ""std"": 0.0}","{""count"": 1, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""min"": 0.0, ""max"": 0.0, ""std"": 0.0}",
task,"In All Trails, launch the explore tab and click the first place with 4.5 stars in Detroit",final,0.05,cosine_distance,1,"{""count"": 1, ""mean"": 0.0078125, ""median"": 0.0078125, ""p90"": 0.0078125, ""min"": 0.0078125, ""max"": 0.0078125, ""std"": 0.0}","{""count"": 1, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""min"": 0.0, ""max"": 0.0, ""std"": 0.0}",
task,"In All Trails, launch the explore tab and click the first place with 4.5 stars in Detroit",final,0.1,cosine_distance,1,"{""count"": 1, ""mean"": 0.0078125, ""median"": 0.0078125, ""p90"": 0.0078125, ""min"": 0.0078125, ""max"": 0.0078125, ""std"": 0.0}","{""count"": 1, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""min"": 0.0, ""max"": 0.0, ""std"": 0.0}",
task,In the Decathlon app. I would like to learn about new sport wear trends in order to get inspiration for men's sport wear style.,final,0.005,cosine_distance,1,"{""count"": 1, ""mean"": 0.015625, ""median"": 0.015625, ""p90"": 0.015625, ""min"": 0.015625, ""max"": 0.015625, ""std"": 0.0}","{""count"": 1, ""mean"": 0.006631299734748011, ""median"": 0.006631299734748011, ""p90"": 0.006631299734748011, ""min"": 0.006631299734748011, ""max"": 0.006631299734748011, ""std"": 0.0}",
task,In the Decathlon app. I would like to learn about new sport wear trends in order to get inspiration for men's sport wear style.,final,0.01,cosine_distance,1,"{""count"": 1, ""mean"": 0.015625, ""median"": 0.015625, ""p90"": 0.015625, ""min"": 0.015625, ""max"": 0.015625, ""std"": 0.0}","{""count"": 1, ""mean"": 0.003978779840848806, ""median"": 0.003978779840848806, ""p90"": 0.003978779840848806, ""min"": 0.003978779840848806, ""max"": 0.003978779840848806, ""std"": 0.0}",
task,In the Decathlon app. I would like to learn about new sport wear trends in order to get inspiration for men's sport wear style.,final,0.03,cosine_distance,1,"{""count"": 1, ""mean"": 0.015625, ""median"": 0.015625, ""p90"": 0.015625, ""min"": 0.015625, ""max"": 0.015625, ""std"": 0.0}","{""count"": 1, ""mean"": 0.001989389920424403, ""median"": 0.001989389920424403, ""p90"": 0.001989389920424403, ""min"": 0.001989389920424403, ""max"": 0.001989389920424403, ""std"": 0.0}",
task,In the Decathlon app. I would like to learn about new sport wear trends in order to get inspiration for men's sport wear style.,final,0.05,cosine_distance,1,"{""count"": 1, ""mean"": 0.015625, ""median"": 0.015625, ""p90"": 0.015625, ""min"": 0.015625, ""max"": 0.015625, ""std"": 0.0}","{""count"": 1, ""mean"": 0.001989389920424403, ""median"": 0.001989389920424403, ""p90"": 0.001989389920424403, ""min"": 0.001989389920424403, ""max"": 0.001989389920424403, ""std"": 0.0}",
task,In the Decathlon app. I would like to learn about new sport wear trends in order to get inspiration for men's sport wear style.,final,0.1,cosine_distance,1,"{""count"": 1, ""mean"": 0.015625, ""median"": 0.015625, ""p90"": 0.015625, ""min"": 0.015625, ""max"": 0.015625, ""std"": 0.0}","{""count"": 1, ""mean"": 0.000663129973474801, ""median"": 0.000663129973474801, ""p90"": 0.000663129973474801, ""min"": 0.000663129973474801, ""max"": 0.000663129973474801, ""std"": 0.0}",
task,"In the Sketchbook app, create a new sketch with canvas size 1080x2263",final,0.005,cosine_distance,1,"{""count"": 1, ""mean"": 0.046875, ""median"": 0.046875, ""p90"": 0.046875, ""min"": 0.046875, ""max"": 0.046875, ""std"": 0.0}","{""count"": 1, ""mean"": 0.05238726790450928, ""median"": 0.05238726790450928, ""p90"": 0.05238726790450928, ""min"": 0.05238726790450928, ""max"": 0.05238726790450928, ""std"": 0.0}",
task,"In the Sketchbook app, create a new sketch with canvas size 1080x2263",final,0.01,cosine_distance,1,"{""count"": 1, ""mean"": 0.046875, ""median"": 0.046875, ""p90"": 0.046875, ""min"": 0.046875, ""max"": 0.046875, ""std"": 0.0}","{""count"": 1, ""mean"": 0.03978779840848806, ""median"": 0.03978779840848806, ""p90"": 0.03978779840848806, ""min"": 0.03978779840848806, ""max"": 0.03978779840848806, ""std"": 0.0}",
task,"In the Sketchbook app, create a new sketch with canvas size 1080x2263",final,0.03,cosine_distance,1,"{""count"": 1, ""mean"": 0.046875, ""median"": 0.046875, ""p90"": 0.046875, ""min"": 0.046875, ""max"": 0.046875, ""std"": 0.0}","{""count"": 1, ""mean"": 0.020557029177718834, ""median"": 0.020557029177718834, ""p90"": 0.020557029177718834, ""min"": 0.020557029177718834, ""max"": 0.020557029177718834, ""std"": 0.0}",
task,"In the Sketchbook app, create a new sketch with canvas size 1080x2263",final,0.05,cosine_distance,1,"{""count"": 1, ""mean"": 0.046875, ""median"": 0.046875, ""p90"": 0.046875, ""min"": 0.046875, ""max"": 0.046875, ""std"": 0.0}","{""count"": 1, ""mean"": 0.010610079575596816, ""median"": 0.010610079575596816, ""p90"": 0.010610079575596816, ""min"": 0.010610079575596816, ""max"": 0.010610079575596816, ""std"": 0.0}",
task,"In the Sketchbook app, create a new sketch with canvas size 1080x2263",final,0.1,cosine_distance,1,"{""count"": 1, ""mean"": 0.046875, ""median"": 0.046875, ""p90"": 0.046875, ""min"": 0.046875, ""max"": 0.046875, ""std"": 0.0}","{""count"": 1, ""mean"": 0.002652519893899204, ""median"": 0.002652519893899204, ""p90"": 0.002652519893899204, ""min"": 0.002652519893899204, ""max"": 0.002652519893899204, ""std"": 0.0}",
