dimension,value,feature_boundary,layer_id,threshold,feature_metric,pair_count,pixel_changed_ratio,feature_changed_ratio,correlation
app,unknown,model_ready_visual,final,0.005,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.15473332701780979, ""median"": 0.1259946949602122, ""p90"": 0.3156498673740053, ""min"": 0.005305039787798408, ""max"": 0.6153846153846154, ""std"": 0.11772344069039435}",0.6935624648302118
app,unknown,model_ready_visual,final,0.01,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.11707349916093758, ""median"": 0.08488063660477455, ""p90"": 0.23952254641909806, ""min"": 0.005305039787798408, ""max"": 0.48010610079575594, ""std"": 0.09583011947524316}",0.689279381857769
app,unknown,model_ready_visual,final,0.03,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.07643472906403942, ""median"": 0.04907161803713528, ""p90"": 0.16710875331564987, ""min"": 0.0, ""max"": 0.3156498673740053, ""std"": 0.06833036897568816}",0.6967732830408411
app,unknown,model_ready_visual,final,0.05,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.06021551724137931, ""median"": 0.04111405835543766, ""p90"": 0.1384615384615384, ""min"": 0.0, ""max"": 0.2625994694960212, ""std"": 0.05787470539552405}",0.692311281401136
app,unknown,model_ready_visual,final,0.1,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.03755981703026038, ""median"": 0.021220159151193633, ""p90"": 0.10159151193633947, ""min"": 0.0, ""max"": 0.1909814323607427, ""std"": 0.04400526267808159}",0.6802459076517475
task, I want to view the recipe for Welsh Cakes in the kitchen stories app.,model_ready_visual,final,0.005,cosine_distance,1,"{""count"": 1, ""mean"": 0.0078125, ""median"": 0.0078125, ""p90"": 0.0078125, ""min"": 0.0078125, ""max"": 0.0078125, ""std"": 0.0}","{""count"": 1, ""mean"": 0.04774535809018567, ""median"": 0.04774535809018567, ""p90"": 0.04774535809018567, ""min"": 0.04774535809018567, ""max"": 0.04774535809018567, ""std"": 0.0}",
task, I want to view the recipe for Welsh Cakes in the kitchen stories app.,model_ready_visual,final,0.01,cosine_distance,1,"{""count"": 1, ""mean"": 0.0078125, ""median"": 0.0078125, ""p90"": 0.0078125, ""min"": 0.0078125, ""max"": 0.0078125, ""std"": 0.0}","{""count"": 1, ""mean"": 0.03183023872679045, ""median"": 0.03183023872679045, ""p90"": 0.03183023872679045, ""min"": 0.03183023872679045, ""max"": 0.03183023872679045, ""std"": 0.0}",
task, I want to view the recipe for Welsh Cakes in the kitchen stories app.,model_ready_visual,final,0.03,cosine_distance,1,"{""count"": 1, ""mean"": 0.0078125, ""median"": 0.0078125, ""p90"": 0.0078125, ""min"": 0.0078125, ""max"": 0.0078125, ""std"": 0.0}","{""count"": 1, ""mean"": 0.015915119363395226, ""median"": 0.015915119363395226, ""p90"": 0.015915119363395226, ""min"": 0.015915119363395226, ""max"": 0.015915119363395226, ""std"": 0.0}",
task, I want to view the recipe for Welsh Cakes in the kitchen stories app.,model_ready_visual,final,0.05,cosine_distance,1,"{""count"": 1, ""mean"": 0.0078125, ""median"": 0.0078125, ""p90"": 0.0078125, ""min"": 0.0078125, ""max"": 0.0078125, ""std"": 0.0}","{""count"": 1, ""mean"": 0.013262599469496022, ""median"": 0.013262599469496022, ""p90"": 0.013262599469496022, ""min"": 0.013262599469496022, ""max"": 0.013262599469496022, ""std"": 0.0}",
task, I want to view the recipe for Welsh Cakes in the kitchen stories app.,model_ready_visual,final,0.1,cosine_distance,1,"{""count"": 1, ""mean"": 0.0078125, ""median"": 0.0078125, ""p90"": 0.0078125, ""min"": 0.0078125, ""max"": 0.0078125, ""std"": 0.0}","{""count"": 1, ""mean"": 0.013262599469496022, ""median"": 0.013262599469496022, ""p90"": 0.013262599469496022, ""min"": 0.013262599469496022, ""max"": 0.013262599469496022, ""std"": 0.0}",
task,Add a due date of November 15 on the Google Tasks app so that I can complete grocery shopping by this date.,model_ready_visual,final,0.005,cosine_distance,1,"{""count"": 1, ""mean"": 0.03125, ""median"": 0.03125, ""p90"": 0.03125, ""min"": 0.03125, ""max"": 0.03125, ""std"": 0.0}","{""count"": 1, ""mean"": 0.1724137931034483, ""median"": 0.1724137931034483, ""p90"": 0.1724137931034483, ""min"": 0.1724137931034483, ""max"": 0.1724137931034483, ""std"": 0.0}",
task,Add a due date of November 15 on the Google Tasks app so that I can complete grocery shopping by this date.,model_ready_visual,final,0.01,cosine_distance,1,"{""count"": 1, ""mean"": 0.03125, ""median"": 0.03125, ""p90"": 0.03125, ""min"": 0.03125, ""max"": 0.03125, ""std"": 0.0}","{""count"": 1, ""mean"": 0.1273209549071618, ""median"": 0.1273209549071618, ""p90"": 0.1273209549071618, ""min"": 0.1273209549071618, ""max"": 0.1273209549071618, ""std"": 0.0}",
task,Add a due date of November 15 on the Google Tasks app so that I can complete grocery shopping by this date.,model_ready_visual,final,0.03,cosine_distance,1,"{""count"": 1, ""mean"": 0.03125, ""median"": 0.03125, ""p90"": 0.03125, ""min"": 0.03125, ""max"": 0.03125, ""std"": 0.0}","{""count"": 1, ""mean"": 0.08222811671087533, ""median"": 0.08222811671087533, ""p90"": 0.08222811671087533, ""min"": 0.08222811671087533, ""max"": 0.08222811671087533, ""std"": 0.0}",
task,Add a due date of November 15 on the Google Tasks app so that I can complete grocery shopping by this date.,model_ready_visual,final,0.05,cosine_distance,1,"{""count"": 1, ""mean"": 0.03125, ""median"": 0.03125, ""p90"": 0.03125, ""min"": 0.03125, ""max"": 0.03125, ""std"": 0.0}","{""count"": 1, ""mean"": 0.0636604774535809, ""median"": 0.0636604774535809, ""p90"": 0.0636604774535809, ""min"": 0.0636604774535809, ""max"": 0.0636604774535809, ""std"": 0.0}",
task,Add a due date of November 15 on the Google Tasks app so that I can complete grocery shopping by this date.,model_ready_visual,final,0.1,cosine_distance,1,"{""count"": 1, ""mean"": 0.03125, ""median"": 0.03125, ""p90"": 0.03125, ""min"": 0.03125, ""max"": 0.03125, ""std"": 0.0}","{""count"": 1, ""mean"": 0.034482758620689655, ""median"": 0.034482758620689655, ""p90"": 0.034482758620689655, ""min"": 0.034482758620689655, ""max"": 0.034482758620689655, ""std"": 0.0}",
task,"Add the text ""My Favorite Book"" on the second page of the The Queen's Gambit book pdf file on the PDFelement app.",model_ready_visual,final,0.005,cosine_distance,1,"{""count"": 1, ""mean"": 0.0234375, ""median"": 0.0234375, ""p90"": 0.0234375, ""min"": 0.0234375, ""max"": 0.0234375, ""std"": 0.0}","{""count"": 1, ""mean"": 0.058355437665782495, ""median"": 0.058355437665782495, ""p90"": 0.058355437665782495, ""min"": 0.058355437665782495, ""max"": 0.058355437665782495, ""std"": 0.0}",
task,"Add the text ""My Favorite Book"" on the second page of the The Queen's Gambit book pdf file on the PDFelement app.",model_ready_visual,final,0.01,cosine_distance,1,"{""count"": 1, ""mean"": 0.0234375, ""median"": 0.0234375, ""p90"": 0.0234375, ""min"": 0.0234375, ""max"": 0.0234375, ""std"": 0.0}","{""count"": 1, ""mean"": 0.03978779840848806, ""median"": 0.03978779840848806, ""p90"": 0.03978779840848806, ""min"": 0.03978779840848806, ""max"": 0.03978779840848806, ""std"": 0.0}",
task,"Add the text ""My Favorite Book"" on the second page of the The Queen's Gambit book pdf file on the PDFelement app.",model_ready_visual,final,0.03,cosine_distance,1,"{""count"": 1, ""mean"": 0.0234375, ""median"": 0.0234375, ""p90"": 0.0234375, ""min"": 0.0234375, ""max"": 0.0234375, ""std"": 0.0}","{""count"": 1, ""mean"": 0.01856763925729443, ""median"": 0.01856763925729443, ""p90"": 0.01856763925729443, ""min"": 0.01856763925729443, ""max"": 0.01856763925729443, ""std"": 0.0}",
task,"Add the text ""My Favorite Book"" on the second page of the The Queen's Gambit book pdf file on the PDFelement app.",model_ready_visual,final,0.05,cosine_distance,1,"{""count"": 1, ""mean"": 0.0234375, ""median"": 0.0234375, ""p90"": 0.0234375, ""min"": 0.0234375, ""max"": 0.0234375, ""std"": 0.0}","{""count"": 1, ""mean"": 0.013262599469496022, ""median"": 0.013262599469496022, ""p90"": 0.013262599469496022, ""min"": 0.013262599469496022, ""max"": 0.013262599469496022, ""std"": 0.0}",
task,"Add the text ""My Favorite Book"" on the second page of the The Queen's Gambit book pdf file on the PDFelement app.",model_ready_visual,final,0.1,cosine_distance,1,"{""count"": 1, ""mean"": 0.0234375, ""median"": 0.0234375, ""p90"": 0.0234375, ""min"": 0.0234375, ""max"": 0.0234375, ""std"": 0.0}","{""count"": 1, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""min"": 0.0, ""max"": 0.0, ""std"": 0.0}",
task,As I am taking a break from work and require to stay in peace for this view the details of the first property with 1 guest and 1 bedroom apartment in Barcelona at the Rentalia app.,model_ready_visual,final,0.005,cosine_distance,1,"{""count"": 1, ""mean"": 0.0234375, ""median"": 0.0234375, ""p90"": 0.0234375, ""min"": 0.0234375, ""max"": 0.0234375, ""std"": 0.0}","{""count"": 1, ""mean"": 0.08753315649867374, ""median"": 0.08753315649867374, ""p90"": 0.08753315649867374, ""min"": 0.08753315649867374, ""max"": 0.08753315649867374, ""std"": 0.0}",
task,As I am taking a break from work and require to stay in peace for this view the details of the first property with 1 guest and 1 bedroom apartment in Barcelona at the Rentalia app.,model_ready_visual,final,0.01,cosine_distance,1,"{""count"": 1, ""mean"": 0.0234375, ""median"": 0.0234375, ""p90"": 0.0234375, ""min"": 0.0234375, ""max"": 0.0234375, ""std"": 0.0}","{""count"": 1, ""mean"": 0.05570291777188329, ""median"": 0.05570291777188329, ""p90"": 0.05570291777188329, ""min"": 0.05570291777188329, ""max"": 0.05570291777188329, ""std"": 0.0}",
task,As I am taking a break from work and require to stay in peace for this view the details of the first property with 1 guest and 1 bedroom apartment in Barcelona at the Rentalia app.,model_ready_visual,final,0.03,cosine_distance,1,"{""count"": 1, ""mean"": 0.0234375, ""median"": 0.0234375, ""p90"": 0.0234375, ""min"": 0.0234375, ""max"": 0.0234375, ""std"": 0.0}","{""count"": 1, ""mean"": 0.03978779840848806, ""median"": 0.03978779840848806, ""p90"": 0.03978779840848806, ""min"": 0.03978779840848806, ""max"": 0.03978779840848806, ""std"": 0.0}",
task,As I am taking a break from work and require to stay in peace for this view the details of the first property with 1 guest and 1 bedroom apartment in Barcelona at the Rentalia app.,model_ready_visual,final,0.05,cosine_distance,1,"{""count"": 1, ""mean"": 0.0234375, ""median"": 0.0234375, ""p90"": 0.0234375, ""min"": 0.0234375, ""max"": 0.0234375, ""std"": 0.0}","{""count"": 1, ""mean"": 0.021220159151193633, ""median"": 0.021220159151193633, ""p90"": 0.021220159151193633, ""min"": 0.021220159151193633, ""max"": 0.021220159151193633, ""std"": 0.0}",
task,As I am taking a break from work and require to stay in peace for this view the details of the first property with 1 guest and 1 bedroom apartment in Barcelona at the Rentalia app.,model_ready_visual,final,0.1,cosine_distance,1,"{""count"": 1, ""mean"": 0.0234375, ""median"": 0.0234375, ""p90"": 0.0234375, ""min"": 0.0234375, ""max"": 0.0234375, ""std"": 0.0}","{""count"": 1, ""mean"": 0.005305039787798408, ""median"": 0.005305039787798408, ""p90"": 0.005305039787798408, ""min"": 0.005305039787798408, ""max"": 0.005305039787798408, ""std"": 0.0}",
task,"Create a reminder for me for the date of September 26th at 6:00 p.m. with the title ""Cooking"" and add a description of an Italian dish on the Reminder app.",model_ready_visual,final,0.005,cosine_distance,1,"{""count"": 1, ""mean"": 0.09375, ""median"": 0.09375, ""p90"": 0.09375, ""min"": 0.09375, ""max"": 0.09375, ""std"": 0.0}","{""count"": 1, ""mean"": 0.3713527851458886, ""median"": 0.3713527851458886, ""p90"": 0.3713527851458886, ""min"": 0.3713527851458886, ""max"": 0.3713527851458886, ""std"": 0.0}",
task,"Create a reminder for me for the date of September 26th at 6:00 p.m. with the title ""Cooking"" and add a description of an Italian dish on the Reminder app.",model_ready_visual,final,0.01,cosine_distance,1,"{""count"": 1, ""mean"": 0.09375, ""median"": 0.09375, ""p90"": 0.09375, ""min"": 0.09375, ""max"": 0.09375, ""std"": 0.0}","{""count"": 1, ""mean"": 0.2917771883289125, ""median"": 0.2917771883289125, ""p90"": 0.2917771883289125, ""min"": 0.2917771883289125, ""max"": 0.2917771883289125, ""std"": 0.0}",
task,"Create a reminder for me for the date of September 26th at 6:00 p.m. with the title ""Cooking"" and add a description of an Italian dish on the Reminder app.",model_ready_visual,final,0.03,cosine_distance,1,"{""count"": 1, ""mean"": 0.09375, ""median"": 0.09375, ""p90"": 0.09375, ""min"": 0.09375, ""max"": 0.09375, ""std"": 0.0}","{""count"": 1, ""mean"": 0.1883289124668435, ""median"": 0.1883289124668435, ""p90"": 0.1883289124668435, ""min"": 0.1883289124668435, ""max"": 0.1883289124668435, ""std"": 0.0}",
task,"Create a reminder for me for the date of September 26th at 6:00 p.m. with the title ""Cooking"" and add a description of an Italian dish on the Reminder app.",model_ready_visual,final,0.05,cosine_distance,1,"{""count"": 1, ""mean"": 0.09375, ""median"": 0.09375, ""p90"": 0.09375, ""min"": 0.09375, ""max"": 0.09375, ""std"": 0.0}","{""count"": 1, ""mean"": 0.14588859416445624, ""median"": 0.14588859416445624, ""p90"": 0.14588859416445624, ""min"": 0.14588859416445624, ""max"": 0.14588859416445624, ""std"": 0.0}",
task,"Create a reminder for me for the date of September 26th at 6:00 p.m. with the title ""Cooking"" and add a description of an Italian dish on the Reminder app.",model_ready_visual,final,0.1,cosine_distance,1,"{""count"": 1, ""mean"": 0.09375, ""median"": 0.09375, ""p90"": 0.09375, ""min"": 0.09375, ""max"": 0.09375, ""std"": 0.0}","{""count"": 1, ""mean"": 0.07427055702917772, ""median"": 0.07427055702917772, ""p90"": 0.07427055702917772, ""min"": 0.07427055702917772, ""max"": 0.07427055702917772, ""std"": 0.0}",
task,"Even though I've previously owned Nike footwear, I'm eager for a change. Use the Tata CLiQ app to find shoes with the campus brand.",model_ready_visual,final,0.005,cosine_distance,1,"{""count"": 1, ""mean"": 0.0546875, ""median"": 0.0546875, ""p90"": 0.0546875, ""min"": 0.0546875, ""max"": 0.0546875, ""std"": 0.0}","{""count"": 1, ""mean"": 0.08488063660477453, ""median"": 0.08488063660477453, ""p90"": 0.08488063660477453, ""min"": 0.08488063660477453, ""max"": 0.08488063660477453, ""std"": 0.0}",
task,"Even though I've previously owned Nike footwear, I'm eager for a change. Use the Tata CLiQ app to find shoes with the campus brand.",model_ready_visual,final,0.01,cosine_distance,1,"{""count"": 1, ""mean"": 0.0546875, ""median"": 0.0546875, ""p90"": 0.0546875, ""min"": 0.0546875, ""max"": 0.0546875, ""std"": 0.0}","{""count"": 1, ""mean"": 0.05570291777188329, ""median"": 0.05570291777188329, ""p90"": 0.05570291777188329, ""min"": 0.05570291777188329, ""max"": 0.05570291777188329, ""std"": 0.0}",
task,"Even though I've previously owned Nike footwear, I'm eager for a change. Use the Tata CLiQ app to find shoes with the campus brand.",model_ready_visual,final,0.03,cosine_distance,1,"{""count"": 1, ""mean"": 0.0546875, ""median"": 0.0546875, ""p90"": 0.0546875, ""min"": 0.0546875, ""max"": 0.0546875, ""std"": 0.0}","{""count"": 1, ""mean"": 0.03183023872679045, ""median"": 0.03183023872679045, ""p90"": 0.03183023872679045, ""min"": 0.03183023872679045, ""max"": 0.03183023872679045, ""std"": 0.0}",
task,"Even though I've previously owned Nike footwear, I'm eager for a change. Use the Tata CLiQ app to find shoes with the campus brand.",model_ready_visual,final,0.05,cosine_distance,1,"{""count"": 1, ""mean"": 0.0546875, ""median"": 0.0546875, ""p90"": 0.0546875, ""min"": 0.0546875, ""max"": 0.0546875, ""std"": 0.0}","{""count"": 1, ""mean"": 0.015915119363395226, ""median"": 0.015915119363395226, ""p90"": 0.015915119363395226, ""min"": 0.015915119363395226, ""max"": 0.015915119363395226, ""std"": 0.0}",
task,"Even though I've previously owned Nike footwear, I'm eager for a change. Use the Tata CLiQ app to find shoes with the campus brand.",model_ready_visual,final,0.1,cosine_distance,1,"{""count"": 1, ""mean"": 0.0546875, ""median"": 0.0546875, ""p90"": 0.0546875, ""min"": 0.0546875, ""max"": 0.0546875, ""std"": 0.0}","{""count"": 1, ""mean"": 0.013262599469496022, ""median"": 0.013262599469496022, ""p90"": 0.013262599469496022, ""min"": 0.013262599469496022, ""max"": 0.013262599469496022, ""std"": 0.0}",
task,Export your all reminder in drive  app,model_ready_visual,final,0.005,cosine_distance,1,"{""count"": 1, ""mean"": 0.078125, ""median"": 0.078125, ""p90"": 0.078125, ""min"": 0.078125, ""max"": 0.078125, ""std"": 0.0}","{""count"": 1, ""mean"": 0.10610079575596817, ""median"": 0.10610079575596817, ""p90"": 0.10610079575596817, ""min"": 0.10610079575596817, ""max"": 0.10610079575596817, ""std"": 0.0}",
task,Export your all reminder in drive  app,model_ready_visual,final,0.01,cosine_distance,1,"{""count"": 1, ""mean"": 0.078125, ""median"": 0.078125, ""p90"": 0.078125, ""min"": 0.078125, ""max"": 0.078125, ""std"": 0.0}","{""count"": 1, ""mean"": 0.07427055702917772, ""median"": 0.07427055702917772, ""p90"": 0.07427055702917772, ""min"": 0.07427055702917772, ""max"": 0.07427055702917772, ""std"": 0.0}",
task,Export your all reminder in drive  app,model_ready_visual,final,0.03,cosine_distance,1,"{""count"": 1, ""mean"": 0.078125, ""median"": 0.078125, ""p90"": 0.078125, ""min"": 0.078125, ""max"": 0.078125, ""std"": 0.0}","{""count"": 1, ""mean"": 0.050397877984084884, ""median"": 0.050397877984084884, ""p90"": 0.050397877984084884, ""min"": 0.050397877984084884, ""max"": 0.050397877984084884, ""std"": 0.0}",
task,Export your all reminder in drive  app,model_ready_visual,final,0.05,cosine_distance,1,"{""count"": 1, ""mean"": 0.078125, ""median"": 0.078125, ""p90"": 0.078125, ""min"": 0.078125, ""max"": 0.078125, ""std"": 0.0}","{""count"": 1, ""mean"": 0.042440318302387266, ""median"": 0.042440318302387266, ""p90"": 0.042440318302387266, ""min"": 0.042440318302387266, ""max"": 0.042440318302387266, ""std"": 0.0}",
task,Export your all reminder in drive  app,model_ready_visual,final,0.1,cosine_distance,1,"{""count"": 1, ""mean"": 0.078125, ""median"": 0.078125, ""p90"": 0.078125, ""min"": 0.078125, ""max"": 0.078125, ""std"": 0.0}","{""count"": 1, ""mean"": 0.029177718832891247, ""median"": 0.029177718832891247, ""p90"": 0.029177718832891247, ""min"": 0.029177718832891247, ""max"": 0.029177718832891247, ""std"": 0.0}",
task,Find Location from Los angeles to Oakland and select transportation by train Mode.Get the Directions,model_ready_visual,final,0.005,cosine_distance,1,"{""count"": 1, ""mean"": 0.0625, ""median"": 0.0625, ""p90"": 0.0625, ""min"": 0.0625, ""max"": 0.0625, ""std"": 0.0}","{""count"": 1, ""mean"": 0.07957559681697612, ""median"": 0.07957559681697612, ""p90"": 0.07957559681697612, ""min"": 0.07957559681697612, ""max"": 0.07957559681697612, ""std"": 0.0}",
task,Find Location from Los angeles to Oakland and select transportation by train Mode.Get the Directions,model_ready_visual,final,0.01,cosine_distance,1,"{""count"": 1, ""mean"": 0.0625, ""median"": 0.0625, ""p90"": 0.0625, ""min"": 0.0625, ""max"": 0.0625, ""std"": 0.0}","{""count"": 1, ""mean"": 0.05570291777188329, ""median"": 0.05570291777188329, ""p90"": 0.05570291777188329, ""min"": 0.05570291777188329, ""max"": 0.05570291777188329, ""std"": 0.0}",
task,Find Location from Los angeles to Oakland and select transportation by train Mode.Get the Directions,model_ready_visual,final,0.03,cosine_distance,1,"{""count"": 1, ""mean"": 0.0625, ""median"": 0.0625, ""p90"": 0.0625, ""min"": 0.0625, ""max"": 0.0625, ""std"": 0.0}","{""count"": 1, ""mean"": 0.04509283819628647, ""median"": 0.04509283819628647, ""p90"": 0.04509283819628647, ""min"": 0.04509283819628647, ""max"": 0.04509283819628647, ""std"": 0.0}",
task,Find Location from Los angeles to Oakland and select transportation by train Mode.Get the Directions,model_ready_visual,final,0.05,cosine_distance,1,"{""count"": 1, ""mean"": 0.0625, ""median"": 0.0625, ""p90"": 0.0625, ""min"": 0.0625, ""max"": 0.0625, ""std"": 0.0}","{""count"": 1, ""mean"": 0.029177718832891247, ""median"": 0.029177718832891247, ""p90"": 0.029177718832891247, ""min"": 0.029177718832891247, ""max"": 0.029177718832891247, ""std"": 0.0}",
task,Find Location from Los angeles to Oakland and select transportation by train Mode.Get the Directions,model_ready_visual,final,0.1,cosine_distance,1,"{""count"": 1, ""mean"": 0.0625, ""median"": 0.0625, ""p90"": 0.0625, ""min"": 0.0625, ""max"": 0.0625, ""std"": 0.0}","{""count"": 1, ""mean"": 0.015915119363395226, ""median"": 0.015915119363395226, ""p90"": 0.015915119363395226, ""min"": 0.015915119363395226, ""max"": 0.015915119363395226, ""std"": 0.0}",
task,Get the timetable of the buses that will take the shortest duration of time to get from Sao Paulo to Rio de Janeiro by using the FlixBus app.,model_ready_visual,final,0.005,cosine_distance,1,"{""count"": 1, ""mean"": 0.0390625, ""median"": 0.0390625, ""p90"": 0.0390625, ""min"": 0.0390625, ""max"": 0.0390625, ""std"": 0.0}","{""count"": 1, ""mean"": 0.058355437665782495, ""median"": 0.058355437665782495, ""p90"": 0.058355437665782495, ""min"": 0.058355437665782495, ""max"": 0.058355437665782495, ""std"": 0.0}",
task,Get the timetable of the buses that will take the shortest duration of time to get from Sao Paulo to Rio de Janeiro by using the FlixBus app.,model_ready_visual,final,0.01,cosine_distance,1,"{""count"": 1, ""mean"": 0.0390625, ""median"": 0.0390625, ""p90"": 0.0390625, ""min"": 0.0390625, ""max"": 0.0390625, ""std"": 0.0}","{""count"": 1, ""mean"": 0.03183023872679045, ""median"": 0.03183023872679045, ""p90"": 0.03183023872679045, ""min"": 0.03183023872679045, ""max"": 0.03183023872679045, ""std"": 0.0}",
task,Get the timetable of the buses that will take the shortest duration of time to get from Sao Paulo to Rio de Janeiro by using the FlixBus app.,model_ready_visual,final,0.03,cosine_distance,1,"{""count"": 1, ""mean"": 0.0390625, ""median"": 0.0390625, ""p90"": 0.0390625, ""min"": 0.0390625, ""max"": 0.0390625, ""std"": 0.0}","{""count"": 1, ""mean"": 0.021220159151193633, ""median"": 0.021220159151193633, ""p90"": 0.021220159151193633, ""min"": 0.021220159151193633, ""max"": 0.021220159151193633, ""std"": 0.0}",
task,Get the timetable of the buses that will take the shortest duration of time to get from Sao Paulo to Rio de Janeiro by using the FlixBus app.,model_ready_visual,final,0.05,cosine_distance,1,"{""count"": 1, ""mean"": 0.0390625, ""median"": 0.0390625, ""p90"": 0.0390625, ""min"": 0.0390625, ""max"": 0.0390625, ""std"": 0.0}","{""count"": 1, ""mean"": 0.013262599469496022, ""median"": 0.013262599469496022, ""p90"": 0.013262599469496022, ""min"": 0.013262599469496022, ""max"": 0.013262599469496022, ""std"": 0.0}",
task,Get the timetable of the buses that will take the shortest duration of time to get from Sao Paulo to Rio de Janeiro by using the FlixBus app.,model_ready_visual,final,0.1,cosine_distance,1,"{""count"": 1, ""mean"": 0.0390625, ""median"": 0.0390625, ""p90"": 0.0390625, ""min"": 0.0390625, ""max"": 0.0390625, ""std"": 0.0}","{""count"": 1, ""mean"": 0.002652519893899204, ""median"": 0.002652519893899204, ""p90"": 0.002652519893899204, ""min"": 0.002652519893899204, ""max"": 0.002652519893899204, ""std"": 0.0}",
task,"Go to the Amtrak app and search for the train from Newton, KS, to New York, NY, on August 17.Go to the Amtrak app and search for the train from Newton, KS, to New York, NY, on August 17.",model_ready_visual,final,0.005,cosine_distance,3,"{""count"": 3, ""mean"": 0.03125, ""median"": 0.03125, ""p90"": 0.05, ""min"": 0.0078125, ""max"": 0.0546875, ""std"": 0.019136638615493577}","{""count"": 3, ""mean"": 0.10344827586206896, ""median"": 0.1273209549071618, ""p90"": 0.15915119363395225, ""min"": 0.015915119363395226, ""max"": 0.16710875331564987, ""std"": 0.06399118345790356}",0.9645788568769381
task,"Go to the Amtrak app and search for the train from Newton, KS, to New York, NY, on August 17.Go to the Amtrak app and search for the train from Newton, KS, to New York, NY, on August 17.",model_ready_visual,final,0.01,cosine_distance,3,"{""count"": 3, ""mean"": 0.03125, ""median"": 0.03125, ""p90"": 0.05, ""min"": 0.0078125, ""max"": 0.0546875, ""std"": 0.019136638615493577}","{""count"": 3, ""mean"": 0.07957559681697614, ""median"": 0.09549071618037135, ""p90"": 0.12519893899204246, ""min"": 0.010610079575596816, ""max"": 0.13262599469496023, ""std"": 0.05106818418459294}",0.9754172691319665
task,"Go to the Amtrak app and search for the train from Newton, KS, to New York, NY, on August 17.Go to the Amtrak app and search for the train from Newton, KS, to New York, NY, on August 17.",model_ready_visual,final,0.03,cosine_distance,3,"{""count"": 3, ""mean"": 0.03125, ""median"": 0.03125, ""p90"": 0.05, ""min"": 0.0078125, ""max"": 0.0546875, ""std"": 0.019136638615493577}","{""count"": 3, ""mean"": 0.0627763041556145, ""median"": 0.0636604774535809, ""p90"": 0.1039787798408488, ""min"": 0.010610079575596816, ""max"": 0.11405835543766578, ""std"": 0.04223720923959748}",0.9998904409747466
task,"Go to the Amtrak app and search for the train from Newton, KS, to New York, NY, on August 17.Go to the Amtrak app and search for the train from Newton, KS, to New York, NY, on August 17.",model_ready_visual,final,0.05,cosine_distance,3,"{""count"": 3, ""mean"": 0.03125, ""median"": 0.03125, ""p90"": 0.05, ""min"": 0.0078125, ""max"": 0.0546875, ""std"": 0.019136638615493577}","{""count"": 3, ""mean"": 0.05658709106984969, ""median"": 0.05570291777188329, ""p90"": 0.09814323607427056, ""min"": 0.005305039787798408, ""max"": 0.10875331564986737, ""std"": 0.04223720923959748}",0.9998904409747466
task,"Go to the Amtrak app and search for the train from Newton, KS, to New York, NY, on August 17.Go to the Amtrak app and search for the train from Newton, KS, to New York, NY, on August 17.",model_ready_visual,final,0.1,cosine_distance,3,"{""count"": 3, ""mean"": 0.03125, ""median"": 0.03125, ""p90"": 0.05, ""min"": 0.0078125, ""max"": 0.0546875, ""std"": 0.019136638615493577}","{""count"": 3, ""mean"": 0.03536693191865606, ""median"": 0.026525198938992044, ""p90"": 0.06896551724137931, ""min"": 0.0, ""max"": 0.07957559681697612, ""std"": 0.03308273551524263}",0.9819805060619657
task,Go to the GVB app and search for the train from Rome to Venice on August 17.,model_ready_visual,final,0.005,cosine_distance,5,"{""count"": 5, ""mean"": 0.05625, ""median"": 0.0546875, ""p90"": 0.06875, ""min"": 0.046875, ""max"": 0.078125, ""std"": 0.011481983169296148}","{""count"": 5, ""mean"": 0.11883289124668435, ""median"": 0.08753315649867374, ""p90"": 0.18408488063660478, ""min"": 0.07427055702917772, ""max"": 0.20954907161803712, ""std"": 0.05231317999202568}",-0.6334222732299332
